序号,学校
1,中国科学技术大学
2,清华大学
3,北京大学
4,中国人民大学
5,北京航空航天大学
6,北京师范大学
7,北京理工大学
8,中国农业大学
9,中央民族大学
10,厦门大学
11,兰州大学
12,中山大学
13,华南理工大学
14,哈尔滨工业大学
15,武汉大学
16,华中科技大学
17,中南大学
18,湖南大学
19,国防科技大学
20,吉林大学
21,南京大学
22,东南大学
23,大连理工大学
24,东北大学
25,山东大学
26,中国海洋大学
27,西安交通大学
28,西北工业大学
29,西北农林科技大学
30,复旦大学
31,上海交通大学
32,同济大学
33,华东师范大学
34,四川大学
35,电子科技大学
36,南开大学
37,天津大学
38,浙江大学
39,重庆大学
